ID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,weight,height,bats,throws,salary
2014kendrky01,1,PHI,NL,10,13,32,32,0,0,0,597,214,102,25,57,121,0.276,4.61,4.0,5,11.0,0,865.0,0,108,17.0,5.0,13.0,220.0,75.0,R,R,7675000.0
2014kenneia01,1,SDN,NL,13,13,33,33,0,0,0,603,189,81,16,70,207,0.25,3.63,4.0,11,4.0,0,846.0,0,85,9.0,8.0,10.0,210.0,72.0,R,R,6100000.0
2014kershcl01,1,LAN,NL,21,3,27,27,6,2,0,595,139,39,9,31,239,0.196,1.77,0.0,7,2.0,2,749.0,0,42,6.0,1.0,15.0,225.0,76.0,L,L,4000000.0
2014keuchda01,1,HOU,AL,12,9,29,29,5,1,0,600,187,65,11,48,146,0.252,2.93,2.0,7,7.0,0,808.0,0,71,4.0,5.0,36.0,205.0,74.0,L,L,508700.0
2014kimbrcr01,1,ATL,NL,0,3,63,0,0,0,47,185,30,11,2,26,95,0.142,1.61,0.0,6,2.0,0,244.0,54,13,3.0,0.0,3.0,215.0,71.0,R,R,7000000.0
2014kintzbr01,1,MIL,NL,3,3,64,0,0,0,0,175,62,21,8,16,31,0.284,3.24,3.0,1,0.0,0,239.0,13,22,4.0,1.0,7.0,200.0,70.0,R,R,507000.0
2014klubeco01,1,CLE,AL,18,9,34,34,3,1,0,707,207,64,14,51,269,0.233,2.44,3.0,3,6.0,0,951.0,0,72,5.0,2.0,16.0,215.0,76.0,R,R,514000.0
2014koehlto01,1,MIA,NL,10,10,32,32,0,0,0,574,177,81,16,71,153,0.248,3.81,0.0,4,7.0,0,803.0,0,84,6.0,5.0,21.0,235.0,74.0,R,R,515000.0
2014kohnmi01,1,LAA,AL,2,1,25,0,0,0,0,71,11,8,1,20,26,0.141,3.04,1.0,3,2.0,0,101.0,4,9,0.0,1.0,2.0,200.0,74.0,R,R,515000.0
2014krolia01,1,DET,AL,0,0,45,0,0,0,1,98,42,18,6,13,28,0.304,4.96,4.0,1,2.0,1,154.0,5,23,0.0,1.0,2.0,210.0,73.0,L,L,504000.0
2014kurodhi01,1,NYA,AL,11,9,32,32,0,0,0,597,191,82,20,35,146,0.249,3.71,0.0,13,7.0,0,820.0,0,91,5.0,6.0,15.0,205.0,73.0,R,R,16000000.0
