playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,salary,birthYear,birthMonth,weight,height,throws,debut
lackejo01,2016,1,CHN,NL,11,8,29,29,0,0,0,565,146,70,23,53,180,0.218,3.35,1.0,4,9.0,0,748.0,0,74,8.0,8.0,13.0,16000000.0,1978.0,10.0,235.0,78.0,R,2002-06-24
lambjo02,2016,1,CIN,NL,1,7,14,14,0,0,0,210,84,50,14,31,58,0.303,6.43,0.0,1,1.0,1,318.0,0,54,8.0,1.0,6.0,507500.0,1990.0,7.0,205.0,76.0,L,2015-08-14
layneto01,2016,1,BOS,AL,0,1,34,0,0,0,0,86,27,12,1,14,25,0.26,3.77,2.0,1,1.0,0,120.0,12,12,1.0,0.0,3.0,563750.0,1984.0,11.0,195.0,74.0,L,2012-08-14
leakemi01,2016,1,SLN,NL,9,12,30,30,0,0,0,530,203,92,20,30,125,0.288,4.69,1.0,7,7.0,0,757.0,0,101,5.0,10.0,13.0,12000000.0,1987.0,11.0,165.0,70.0,R,2010-04-11
leonar01,2016,1,TOR,AL,0,0,2,0,0,0,0,7,3,2,1,1,2,0.3,7.71,0.0,0,0.0,0,11.0,0,2,0.0,0.0,0.0,510500.0,1988.0,9.0,210.0,73.0,R,2015-04-22
lestejo01,2016,1,CHN,NL,19,5,32,32,2,0,0,608,154,55,21,52,197,0.211,2.44,0.0,4,6.0,0,796.0,0,57,4.0,4.0,15.0,25000000.0,1984.0,1.0,249.0,76.0,L,2006-06-10
lewisco01,2016,1,TEX,AL,6,5,19,19,1,0,0,349,103,48,19,28,73,0.236,3.71,0.0,1,3.0,0,472.0,0,53,1.0,3.0,9.0,6000000.0,1979.0,8.0,240.0,76.0,R,2002-04-01
liriafr01,2016,1,PIT,NL,6,11,21,21,0,0,0,341,115,69,19,69,116,0.264,5.46,1.0,8,7.0,0,523.0,0,76,7.0,5.0,13.0,13666667.0,1983.0,10.0,220.0,75.0,L,2005-09-05
lobstky01,2016,1,PIT,NL,2,0,14,0,0,0,0,75,25,11,2,12,15,0.263,3.96,1.0,2,2.0,0,110.0,3,11,1.0,0.0,4.0,520000.0,1989.0,8.0,220.0,75.0,L,2014-08-23
lockeje01,2016,1,PIT,NL,9,8,30,19,1,1,0,382,151,77,17,44,73,0.298,5.44,4.0,7,3.0,0,564.0,4,81,8.0,2.0,16.0,3025000.0,1987.0,11.0,200.0,72.0,L,2011-09-10
loganbo02,2016,1,COL,NL,2,5,66,0,0,0,1,139,27,19,4,20,57,0.166,3.69,5.0,4,2.0,0,187.0,9,23,2.0,0.0,4.0,6250000.0,1984.0,8.0,215.0,77.0,L,2006-04-04
lopezja02,2016,1,SFN,NL,1,3,68,0,0,0,1,80,24,12,3,15,15,0.24,4.05,0.0,0,2.0,0,118.0,6,13,1.0,0.0,4.0,5000000.0,1977.0,7.0,220.0,76.0,L,2003-04-01
lorenmi01,2016,1,CIN,NL,2,1,35,0,0,0,0,150,41,16,5,13,48,0.224,2.88,0.0,2,6.0,2,202.0,4,16,0.0,0.0,10.0,516500.0,1992.0,1.0,217.0,75.0,R,2015-04-29
loupaa01,2016,1,TOR,AL,0,0,21,0,0,0,0,43,15,8,2,4,15,0.288,5.02,0.0,3,3.0,0,62.0,2,8,0.0,3.0,2.0,1050000.0,1987.0,12.0,210.0,71.0,L,2012-07-14
lowema01,2016,1,DET,AL,1,3,54,0,0,0,0,148,57,39,12,21,49,0.291,7.11,2.0,2,1.0,0,224.0,26,41,0.0,6.0,0.0,5500000.0,1983.0,6.0,210.0,75.0,R,2006-07-07
luebkco01,2016,1,PIT,NL,0,1,9,0,0,0,0,26,15,9,2,11,9,0.385,9.35,2.0,0,1.0,0,53.0,5,9,1.0,1.0,0.0,1000000.0,1985.0,3.0,210.0,76.0,L,2010-09-03
lylesjo01,2016,1,COL,NL,4,5,40,5,0,0,1,176,69,38,4,28,32,0.291,5.83,2.0,5,4.0,0,273.0,7,46,1.0,2.0,6.0,2975000.0,1990.0,10.0,230.0,77.0,R,2011-05-31
lyonsty01,2016,1,SLN,NL,2,0,30,0,0,0,0,144,35,18,9,14,46,0.205,3.38,0.0,2,0.0,0,187.0,10,18,1.0,1.0,6.0,512500.0,1988.0,2.0,210.0,74.0,L,2013-05-22
