Year,Full Name,Age,Salary,ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,League,Team,Games Started
1990,PerezMelido,24.0,228000.0,4.61,177,101,161,14,13,14,591,833.0,0,180.0,76.0,AL,CHA,35
1990,PicoJeff,24.0,120000.0,4.79,120,49,37,7,4,4,276,421.0,8,180.0,73.0,NL,CHN,8
1990,PortugalMark,28.0,202000.0,3.62,187,79,136,21,11,10,590,831.0,0,170.0,72.0,NL,HOU,32
1990,RasmussenDennis,31.0,802000.0,4.51,217,94,86,28,11,15,563,825.0,0,230.0,79.0,NL,SDN,32
1990,RijoJose,25.0,630000.0,2.7,151,59,152,10,14,8,591,801.0,0,200.0,73.0,NL,CIN,29
1990,RobinsonDon,33.0,950000.0,4.57,173,80,78,18,10,7,473,667.0,0,225.0,76.0,NL,SFN,25
1990,RobinsonJeff,29.0,336000.0,5.96,141,96,76,23,10,9,435,654.0,0,210.0,78.0,AL,DET,27
1990,RuffinBruce,27.0,350000.0,5.38,178,89,79,14,6,13,447,678.0,1,205.0,74.0,NL,PHI,25
1990,RyanNolan,43.0,1400000.0,3.44,137,78,232,18,13,9,612,818.0,0,170.0,74.0,AL,TEX,30
1990,SaberhagenBret,26.0,1400000.0,3.27,146,49,87,9,5,9,405,561.0,0,160.0,73.0,AL,KCA,20
1990,SandersonScott,34.0,750000.0,3.88,205,89,128,27,17,11,619,885.0,0,195.0,77.0,AL,OAK,34
1990,SchiraldiCalvin,28.0,600000.0,4.41,105,51,74,11,3,8,312,468.0,14,215.0,77.0,NL,SDN,8
1990,ScottMike,35.0,1987500.0,3.81,194,87,121,27,9,13,617,871.0,0,210.0,74.0,NL,HOU,32
1990,ScudderScott,22.0,107000.0,4.9,74,39,42,12,5,5,215,316.0,3,180.0,74.0,NL,CIN,10
1990,SearcySteve,26.0,107000.0,4.66,76,39,66,9,2,7,226,341.0,2,190.0,73.0,AL,DET,12
1990,ShawJeff,24.0,100000.0,6.66,73,36,25,11,3,4,146,229.0,0,185.0,74.0,AL,CLE,9
1990,ShowEric,34.0,1050000.0,5.76,131,68,55,16,6,8,319,482.0,14,185.0,73.0,NL,SDN,12
1990,SmileyJohn,25.0,840000.0,4.64,161,77,86,15,9,10,448,632.0,0,180.0,76.0,NL,PIT,25
1990,SmithBryn,35.0,1566667.0,4.27,160,67,78,11,9,8,424,605.0,0,200.0,74.0,NL,SLN,25
1990,SmithPete,24.0,190000.0,4.79,77,41,56,11,5,6,231,327.0,0,185.0,74.0,NL,ATL,13
1990,SmithRoy,29.0,355000.0,4.81,191,82,87,20,5,10,460,671.0,1,200.0,75.0,AL,MIN,23
1990,SmithZane,30.0,860000.0,3.23,141,50,80,11,6,7,418,578.0,0,185.0,74.0,NL,MON,21
1990,SmoltzJohn,23.0,210000.0,3.85,206,99,170,20,14,11,694,966.0,0,210.0,75.0,NL,ATL,34
1990,StewartDave,33.0,950000.0,2.56,226,76,166,16,22,11,801,1088.0,0,200.0,74.0,AL,OAK,36
1990,StiebDave,33.0,1750000.0,2.93,179,68,125,11,18,6,626,861.0,0,185.0,72.0,AL,TOR,33
1990,StottlemyreTodd,25.0,168500.0,4.34,214,98,115,18,13,17,609,866.0,0,195.0,75.0,AL,TOR,33
1990,SwiftBill,29.0,370000.0,2.39,135,34,42,4,6,4,384,533.0,18,170.0,72.0,AL,SEA,8
1990,SwindellGreg,25.0,840000.0,4.4,245,105,135,27,12,9,644,912.0,0,225.0,74.0,AL,CLE,34
1990,TananaFrank,37.0,1100000.0,5.31,190,104,114,25,9,8,529,763.0,4,180.0,74.0,AL,DET,29
1990,TapaniKevin,26.0,102000.0,4.07,164,72,101,12,12,8,478,659.0,0,180.0,72.0,AL,MIN,28
1990,TelfordAnthony,24.0,100000.0,4.95,43,20,20,4,3,3,109,168.0,0,175.0,72.0,AL,BAL,8
1990,TerrellWalt,32.0,800000.0,5.88,98,54,34,13,2,7,248,377.0,0,205.0,74.0,NL,PIT,16
1990,TewksburyBob,30.0,100000.0,3.47,151,56,50,7,10,9,436,595.0,1,200.0,76.0,NL,SLN,20
1990,TibbsJay,28.0,335000.0,5.68,55,32,23,8,2,7,152,215.0,0,185.0,75.0,AL,BAL,10
1990,TudorJohn,36.0,350000.0,2.4,120,39,63,10,12,4,439,575.0,0,185.0,72.0,NL,SLN,22
1990,ValenzuelaFernando,30.0,2000000.0,4.59,223,104,115,19,13,13,612,900.0,0,180.0,71.0,NL,LAN,33
1990,ViolaFrank,30.0,1966667.0,2.67,227,74,182,15,20,12,749,1016.0,0,200.0,76.0,NL,NYN,35
