playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,salary,birthYear,birthMonth,weight,height,throws,salary-bin
nolaaa01,2016,1,20,1,6,9,20,20,0,0,0,333,116,59,10,29,121,0.264,4.78,3.0,2,6.0,0,483.0,0,68,5.0,4.0,5.0,517500.0,1993.0,6.0,200.0,74.0,1,low
nolasri01,2016,1,16,0,4,8,21,21,0,0,0,374,139,71,18,29,93,0.287,5.13,0.0,4,3.0,0,527.0,0,77,2.0,9.0,12.0,12000000.0,1982.0,12.0,235.0,74.0,1,high
norribu01,2016,1,1,1,3,7,22,10,0,0,0,211,68,33,6,28,60,0.257,4.22,1.0,3,2.0,0,301.0,0,34,3.0,3.0,5.0,2500000.0,1985.0,3.0,215.0,72.0,1,mid
norrida01,2016,1,9,0,4,2,14,13,0,0,0,208,75,26,10,22,71,0.271,3.38,0.0,1,0.0,0,302.0,1,30,0.0,3.0,3.0,514500.0,1993.0,4.0,207.0,74.0,0,low
novaiv01,2016,1,17,0,7,6,21,15,0,0,1,292,107,53,19,25,75,0.276,4.9,1.0,7,6.0,0,421.0,3,54,1.0,2.0,8.0,4100000.0,1987.0,1.0,250.0,77.0,1,high
nunovi01,2016,1,23,0,1,1,55,1,0,0,0,176,67,23,11,11,51,0.289,3.53,2.0,0,2.0,2,247.0,14,23,0.0,2.0,4.0,532900.0,1987.0,7.0,210.0,71.0,0,mid
oberhbr01,2016,1,20,1,2,2,26,0,0,0,1,151,58,27,11,20,38,0.284,4.83,0.0,1,0.0,0,226.0,10,28,1.0,1.0,4.0,518000.0,1989.0,7.0,225.0,73.0,0,low
odayda01,2016,1,2,0,3,1,34,0,0,0,3,93,25,13,6,13,38,0.214,3.77,2.0,0,1.0,0,131.0,6,13,0.0,0.0,1.0,5854712.0,1982.0,10.0,220.0,76.0,1,high
odorija01,2016,1,26,0,10,6,33,33,0,0,0,563,170,77,29,54,166,0.241,3.69,3.0,3,4.0,1,773.0,0,80,3.0,6.0,14.0,520700.0,1990.0,3.0,190.0,74.0,1,low
oflaher01,2016,1,1,1,1,4,39,0,0,0,0,86,39,22,3,11,22,0.32,6.91,2.0,3,2.0,0,136.0,8,25,1.0,0.0,3.0,1750000.0,1985.0,2.0,210.0,74.0,0,mid
ogandal01,2016,1,1,1,2,1,36,0,0,0,0,96,32,14,2,23,29,0.274,3.94,5.0,3,1.0,0,148.0,11,18,3.0,4.0,4.0,2000000.0,1983.0,10.0,200.0,76.0,1,mid
ohlenro01,2016,1,6,1,5,7,64,0,0,0,2,197,59,34,14,32,68,0.237,4.66,1.0,4,6.0,0,290.0,34,35,3.0,0.0,4.0,800000.0,1982.0,8.0,240.0,76.0,1,mid
ohse01,2016,1,25,1,6,3,76,0,0,0,19,239,55,17,5,18,103,0.19,1.92,3.0,3,2.0,0,313.0,35,20,2.0,1.0,5.0,2500000.0,1982.0,7.0,205.0,70.0,1,mid
osichjo01,2016,1,24,1,1,3,59,0,0,0,0,109,31,19,7,19,25,0.228,4.71,1.0,2,3.0,0,160.0,9,20,1.0,0.0,4.0,512500.0,1988.0,9.0,235.0,74.0,0,low
osunaro01,2016,1,28,0,4,3,72,0,0,0,36,222,55,22,9,14,82,0.206,2.68,4.0,4,3.0,1,288.0,61,23,1.0,3.0,4.0,516100.0,1995.0,2.0,217.0,74.0,1,low
oteroda01,2016,1,7,0,5,1,62,0,0,0,1,212,54,12,2,10,57,0.211,1.53,1.0,2,0.0,0,269.0,20,14,3.0,0.0,11.0,520000.0,1985.0,2.0,205.0,75.0,1,low
ottavad01,2016,1,8,1,1,3,34,0,0,0,7,81,18,8,3,7,35,0.184,2.67,0.0,4,2.0,0,107.0,19,9,0.0,0.0,1.0,1300000.0,1985.0,11.0,246.0,77.0,1,mid
papeljo01,2016,1,29,1,2,4,37,0,0,0,19,105,37,17,3,14,31,0.27,4.37,3.0,1,0.0,0,152.0,30,18,1.0,0.0,5.0,10936574.0,1980.0,11.0,230.0,77.0,1,high
peavyja01,2016,1,24,1,5,9,31,21,0,0,0,356,134,73,18,36,102,0.282,5.54,1.0,4,2.0,1,520.0,3,76,4.0,2.0,8.0,15000000.0,1981.0,5.0,195.0,73.0,1,high
pelfrmi01,2016,1,9,0,4,10,24,22,0,0,0,357,160,67,15,46,56,0.332,5.07,0.0,3,6.0,0,541.0,0,76,2.0,5.0,24.0,8000000.0,1984.0,1.0,240.0,79.0,1,high
penaar01,2016,1,15,1,0,0,1,0,0,0,0,5,5,5,3,2,0,0.556,27.0,0.0,0,0.0,0,11.0,0,5,0.0,0.0,1.0,510000.0,1989.0,5.0,245.0,75.0,1,low
peraljo01,2016,1,23,0,1,0,26,0,0,0,0,70,24,14,7,7,28,0.261,5.4,0.0,0,0.0,0,100.0,5,14,0.0,1.0,0.0,1250000.0,1976.0,3.0,210.0,70.0,1,mid
peralwi01,2016,1,15,1,7,11,23,23,0,0,0,383,152,69,19,43,93,0.305,4.86,1.0,0,3.0,0,554.0,0,73,6.0,4.0,12.0,2800000.0,1989.0,5.0,255.0,73.0,1,mid
perdolu02,2016,1,22,1,9,10,35,20,1,0,0,440,187,93,23,46,105,0.31,5.71,7.0,10,7.0,0,662.0,8,99,0.0,4.0,20.0,507500.0,1993.0,5.0,201.0,74.0,1,low
perezma02,2016,1,27,0,10,11,33,33,0,0,0,596,205,97,18,76,103,0.27,4.39,0.0,3,4.0,2,855.0,0,110,9.0,8.0,36.0,3150000.0,1991.0,4.0,200.0,72.0,0,mid
perezol01,2016,1,29,1,2,3,64,0,0,0,0,120,38,22,4,20,46,0.248,4.95,3.0,5,7.0,0,182.0,7,22,1.0,1.0,4.0,3000000.0,1981.0,8.0,225.0,75.0,0,mid
perezwi01,2016,1,1,1,2,3,11,11,0,0,0,161,57,36,7,15,27,0.271,6.04,3.0,4,2.0,0,233.0,0,37,4.0,2.0,5.0,511250.0,1991.0,5.0,240.0,72.0,1,low
perkigl01,2016,1,16,0,0,0,2,0,0,0,0,6,5,2,0,1,3,0.5,9.0,0.0,2,0.0,0,12.0,1,2,0.0,1.0,0.0,6300000.0,1983.0,3.0,205.0,72.0,0,high
petityu01,2016,1,29,1,3,5,36,1,0,0,1,186,67,31,12,15,49,0.272,4.5,3.0,3,0.0,1,265.0,16,33,3.0,1.0,4.0,2500000.0,1984.0,11.0,252.0,73.0,1,mid
petrija01,2016,1,4,0,0,0,9,0,0,0,0,24,8,4,1,8,7,0.267,4.5,0.0,3,0.0,0,39.0,1,5,1.0,0.0,2.0,535000.0,1988.0,6.0,218.0,76.0,1,mid
phegljo01,2016,1,19,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,2.0,1,0,0.0,0.0,0.0,512500.0,1988.0,2.0,225.0,70.0,1,low
phelpda01,2016,1,14,1,7,6,64,5,0,0,4,260,61,22,6,38,114,0.197,2.28,6.0,0,2.0,1,352.0,6,23,1.0,2.0,7.0,2500000.0,1986.0,10.0,198.0,74.0,1,mid
pinedmi01,2016,1,17,0,6,12,32,32,0,0,0,527,184,94,27,53,207,0.266,4.82,1.0,7,6.0,0,756.0,0,98,0.0,3.0,10.0,4300000.0,1989.0,1.0,280.0,79.0,1,high
pomerdr01,2016,1,22,1,8,7,17,17,0,0,0,306,67,28,8,41,115,0.184,2.47,2.0,7,1.0,0,411.0,0,30,2.0,3.0,4.0,1350000.0,1988.0,11.0,246.0,77.0,0,mid
porceri01,2016,1,3,0,22,4,33,33,3,0,0,669,193,78,23,32,189,0.23,3.15,0.0,3,13.0,0,890.0,0,85,2.0,3.0,16.0,20125000.0,1988.0,12.0,205.0,77.0,1,high
pressry01,2016,1,16,0,6,7,72,0,0,0,1,226,79,31,8,23,67,0.266,3.7,2.0,7,2.0,0,328.0,10,34,4.0,2.0,3.0,520000.0,1988.0,12.0,206.0,74.0,1,low
priceda01,2016,1,3,0,17,9,35,35,2,0,0,690,227,102,30,50,228,0.258,3.99,1.0,4,7.0,0,951.0,0,106,8.0,7.0,19.0,30000000.0,1985.0,8.0,215.0,77.0,0,high
putnaza01,2016,1,4,0,1,0,25,0,0,0,0,82,25,7,2,11,30,0.248,2.3,1.0,2,0.0,0,114.0,6,7,0.0,2.0,1.0,975000.0,1987.0,7.0,220.0,74.0,1,mid
quackke01,2016,1,22,1,7,7,60,0,0,0,2,179,55,26,8,22,42,0.242,3.92,2.0,2,0.0,0,253.0,17,27,2.0,2.0,2.0,521200.0,1988.0,11.0,235.0,76.0,1,low
quallch01,2016,1,8,1,2,0,44,0,0,0,0,98,43,19,5,9,22,0.305,5.23,1.0,1,0.0,0,152.0,14,22,1.0,1.0,1.0,2250000.0,1978.0,8.0,235.0,76.0,1,mid
quintjo01,2016,1,4,0,13,12,32,32,0,0,0,624,192,74,22,50,181,0.246,3.2,1.0,10,4.0,1,837.0,0,76,2.0,2.0,18.0,5400000.0,1989.0,1.0,220.0,73.0,0,high
ramirer02,2016,1,26,0,7,11,64,1,0,0,2,272,90,38,14,26,63,0.265,3.77,5.0,7,4.0,0,378.0,13,39,7.0,2.0,12.0,2375000.0,1990.0,5.0,220.0,72.0,1,mid
ramirjo02,2016,1,1,1,2,2,33,0,0,0,0,98,26,13,2,18,33,0.22,3.58,4.0,3,4.0,0,143.0,5,16,0.0,3.0,0.0,507500.0,1990.0,1.0,220.0,73.0,1,low
ramirne01,2016,1,5,1,0,0,8,0,0,0,0,23,5,4,1,8,10,0.2,4.7,2.0,3,0.0,0,35.0,4,4,0.0,2.0,1.0,524500.0,1989.0,5.0,215.0,76.0,1,low
ramirno01,2016,1,3,0,0,0,14,0,0,0,0,39,16,9,4,8,15,0.327,6.23,1.0,0,2.0,0,61.0,7,9,0.0,2.0,3.0,509500.0,1989.0,12.0,205.0,75.0,1,low
ramosaj01,2016,1,14,1,1,4,67,0,0,0,40,192,52,20,1,35,73,0.223,2.81,3.0,6,4.0,0,278.0,52,21,2.0,4.0,5.0,3400000.0,1986.0,9.0,200.0,70.0,1,mid
rasmuco02,2016,1,12,0,0,2,19,1,0,0,0,74,25,16,4,16,17,0.26,5.84,1.0,2,1.0,2,114.0,4,16,0.0,1.0,0.0,514500.0,1987.0,11.0,200.0,72.0,1,low
ravinjo01,2016,1,13,1,0,0,10,0,0,0,0,29,2,1,1,4,13,0.065,0.93,0.0,2,0.0,0,35.0,4,1,0.0,0.0,0.0,515000.0,1988.0,1.0,215.0,76.0,1,low
rayro02,2016,1,0,1,8,15,32,32,0,0,0,523,185,95,24,71,218,0.267,4.9,4.0,8,6.0,0,776.0,0,105,3.0,2.0,13.0,521000.0,1991.0,10.0,215.0,74.0,0,low
reaco01,2016,1,22,1,5,5,19,18,0,0,0,298,101,55,12,44,76,0.262,4.98,4.0,0,8.0,1,443.0,0,63,3.0,2.0,10.0,510200.0,1990.0,7.0,235.0,77.0,1,low
reedad01,2016,1,18,1,4,2,80,0,0,0,1,233,60,17,4,13,91,0.21,1.97,4.0,4,0.0,0,304.0,13,18,3.0,2.0,2.0,5300000.0,1988.0,12.0,230.0,76.0,1,high
