ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,Games Started,salBin_low,salBin_mid,salBin_high,salBin_top
4.4,233,103,96,17,9,12,632,934,0,195,76,33,1,0,0,0
4.18,241,107,115,32,14,14,691,983,0,190,73,36,0,1,0,0
4.18,223,96,131,19,12,11,620,890,0,175,74,34,1,0,0,0
3.62,110,49,105,8,8,6,365,517,17,210,75,5,0,1,0,0
2.24,88,27,86,6,7,6,325,442,0,205,75,15,0,1,0,0
5.91,61,35,34,6,1,6,160,247,0,210,76,9,0,1,0,0
4.57,94,45,29,9,3,6,266,389,10,195,74,8,0,1,0,0
2.91,92,35,77,6,3,5,325,438,10,195,75,11,0,1,0,0
4.03,26,10,8,1,1,0,67,101,0,190,74,5,1,0,0,0
2.62,219,79,241,15,18,10,814,1077,0,205,76,35,0,1,0,0
4.9,64,35,41,7,2,6,193,300,0,200,75,13,1,0,0,0
3.29,204,85,241,13,14,14,698,966,0,180,73,34,0,1,0,0
4.57,98,52,46,14,4,6,307,433,2,235,76,17,0,1,0,0
3.87,96,44,58,9,5,6,307,427,0,195,75,17,0,1,0,0
5.16,71,39,42,15,3,6,204,292,0,185,75,12,0,1,0,0
4.45,55,31,47,6,6,3,188,276,8,180,75,5,0,1,0,0
3.42,147,69,118,7,10,9,545,801,1,175,77,29,1,0,0,0
2.71,144,49,118,15,5,9,488,679,0,210,75,28,0,1,0,0
5.09,176,103,98,31,12,13,546,779,0,185,72,31,1,0,0,0
4.98,156,89,98,19,5,12,483,686,0,222,76,28,0,1,0,0
4.19,99,52,62,12,10,4,335,479,4,195,76,11,0,1,0,0
3.07,245,80,142,16,15,14,704,977,0,185,73,35,0,1,0,0
5.33,87,43,18,10,2,5,218,317,4,210,75,13,1,0,0,0
3.18,189,72,108,13,20,8,612,851,0,220,76,32,1,0,0,0
4.51,186,96,145,16,9,13,575,827,1,200,74,32,1,0,0,0
2.86,36,14,31,4,1,3,132,177,0,220,73,8,0,1,0,0
4.84,53,24,24,4,2,5,134,206,8,200,76,4,1,0,0,0
3.8,205,96,171,23,18,9,682,955,0,220,78,34,0,1,0,0
5.74,73,47,43,5,1,4,221,331,11,215,78,7,1,0,0,0
3.85,139,72,107,17,9,11,505,692,0,190,73,27,1,0,0,0
6.41,25,14,8,5,1,1,59,90,2,195,76,3,0,1,0,0
2.55,201,70,192,17,20,11,740,989,0,175,72,34,0,1,0,0
3.6,185,76,150,12,13,7,570,789,0,190,74,27,0,1,0,0
3.87,129,68,167,16,9,14,474,684,11,160,69,14,1,0,0,0
3.38,177,78,154,19,13,7,623,857,3,225,77,27,1,0,0,0
4.87,54,33,42,4,1,7,183,272,0,180,75,12,1,0,0,0
3.58,123,46,95,10,10,11,347,509,16,203,77,10,0,1,0,0
3.47,93,33,40,8,6,4,257,381,6,195,74,9,1,0,0,0
5.68,168,84,89,10,9,12,399,601,0,215,78,26,0,1,0,0
3.9,256,98,91,22,20,9,679,954,0,200,75,35,0,1,0,0
4.32,116,47,72,11,7,5,294,432,13,192,76,12,1,0,0,0
2.99,98,46,123,6,10,3,416,574,0,190,71,23,1,0,0,0
4.06,92,45,50,4,7,7,299,425,0,190,73,18,1,0,0,0
3.81,182,74,143,16,8,8,524,744,0,210,78,27,1,0,0,0
5.3,21,11,15,3,0,2,56,84,0,220,77,4,1,0,0,0
2.7,169,65,172,14,12,9,650,900,0,195,73,33,1,0,0,0
3.85,157,74,127,13,11,12,519,731,15,165,72,21,0,1,0,0
9.95,23,14,5,5,0,2,38,66,1,200,76,3,0,1,0,0
7.8,18,13,6,1,1,0,45,69,1,220,76,3,1,0,0,0
4.71,66,33,55,6,2,7,189,285,8,185,74,6,1,0,0,0
3.46,112,43,73,3,7,2,336,473,0,190,75,21,0,1,0,0
3.29,142,56,104,19,12,4,460,631,5,170,74,17,0,1,0,0
4.31,196,93,71,23,11,11,582,806,1,180,72,29,1,0,0,0
3.57,147,72,121,15,11,10,544,743,0,200,76,30,1,0,0,0
3.69,199,80,108,16,13,14,586,839,0,185,76,30,1,0,0,0
4.02,167,89,107,21,9,10,598,858,1,190,74,29,0,1,0,0
3.29,201,81,141,17,15,8,665,909,0,200,76,31,0,1,0,0
6.75,89,53,31,8,1,5,212,347,0,205,72,14,0,1,0,0
7.07,127,66,38,18,4,8,252,393,4,180,70,14,1,0,0,0
3.98,151,89,228,15,13,10,604,889,0,225,82,33,1,0,0,0
5.54,87,39,48,7,4,8,190,293,29,195,75,4,0,1,0,0
7.36,56,33,21,6,2,3,121,194,3,180,75,5,1,0,0,0
3.69,144,63,100,16,7,11,461,689,5,185,77,22,1,0,0,0
4.6,166,77,59,7,6,11,452,656,0,180,74,24,0,1,0,0
7.97,54,31,23,8,1,3,105,174,3,215,77,7,1,0,0,0
3.6,194,70,91,15,11,8,525,751,2,205,77,25,0,1,0,0
7.23,61,38,30,4,1,5,142,225,6,185,77,5,0,1,0,0
3.52,150,61,102,13,9,7,468,653,21,200,74,11,0,1,0,0
3.0,190,82,183,30,19,8,739,992,0,177,74,34,0,1,0,0
6.49,150,87,83,20,4,10,362,551,4,205,75,18,0,1,0,0
3.49,212,89,128,18,15,13,689,949,0,195,75,36,0,1,0,0
4.21,125,63,103,16,9,7,404,578,7,200,75,15,1,0,0,0
6.27,81,42,37,9,3,5,181,281,0,190,75,11,1,0,0,0
3.35,232,98,198,18,15,11,789,1070,0,170,72,37,0,1,0,0
2.39,187,59,123,9,14,11,666,905,0,160,73,31,0,1,0,0
3.27,190,80,150,18,17,13,661,916,0,165,76,33,1,0,0,0
4.26,193,84,71,19,10,19,533,762,0,190,73,30,0,1,0,0
4.84,126,68,85,16,6,8,379,532,0,212,79,21,1,0,0,0
3.41,212,96,191,19,17,10,761,1028,0,180,77,35,1,0,0,0
3.27,77,34,60,11,8,5,281,381,10,175,74,9,1,0,0,0
2.58,56,21,62,5,5,3,220,306,28,175,73,4,1,0,0,0
5.97,151,82,64,11,6,11,371,566,0,170,75,23,1,0,0,0
4.01,175,82,108,17,10,9,552,758,1,220,76,26,1,0,0,0
6.04,30,17,21,5,0,2,76,124,2,180,72,3,1,0,0,0
2.96,176,69,153,11,17,8,630,887,0,205,76,33,0,1,0,0
2.78,197,73,140,12,14,10,709,949,1,195,75,33,0,1,0,0
3.43,226,94,163,18,18,12,740,1032,0,195,75,35,0,1,0,0
5.74,38,20,20,5,0,5,94,142,1,170,72,7,1,0,0,0
3.61,231,93,142,15,16,13,696,956,0,200,75,34,1,0,0,0
2.87,77,28,52,7,4,5,263,349,0,185,74,12,1,0,0,0
11.68,23,16,6,1,0,3,37,68,0,185,74,3,1,0,0,0
3.55,116,52,108,8,6,13,396,575,18,190,73,12,0,1,0,0
3.63,134,62,99,5,8,7,461,631,0,210,77,24,1,0,0,0
