ID,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
2010cappsma01,cappsma01,2010,1,WAS,NL,3,3,47,0,0,0,26,138,51,14,5,9,38,0.274,2.74,3.0,0,0.0,0,199.0,43,20,4.0,0.0,2.0
2010cappsma01,cappsma01,2010,2,MIN,AL,2,0,27,0,0,0,16,81,24,6,1,8,21,0.247,2.0,1.0,1,0.0,0,106.0,23,7,1.0,0.0,5.0
2010capuach01,capuach01,2010,1,MIL,NL,4,4,24,9,0,0,0,198,65,29,9,21,54,0.259,3.95,1.0,5,1.0,0,278.0,5,29,3.0,2.0,7.0
2010carides01,carides01,2010,1,CHN,NL,0,1,8,0,0,0,0,12,4,5,1,5,4,0.235,11.25,0.0,0,0.0,0,23.0,3,7,0.0,1.0,0.0
2010carlsje01,carlsje01,2010,1,TOR,AL,0,0,20,0,0,0,1,41,13,7,3,5,8,0.25,4.61,2.0,0,1.0,0,59.0,5,7,1.0,0.0,1.0
2010carmofa01,carmofa01,2010,1,CLE,AL,13,14,33,33,4,1,0,631,203,88,17,72,124,0.258,3.77,0.0,3,9.0,0,880.0,0,98,2.0,10.0,30.0
2010carpean01,carpean01,2010,1,PHI,NL,0,1,1,0,0,0,0,9,5,3,1,0,2,0.385,9.0,0.0,1,0.0,0,14.0,0,3,1.0,0.0,0.0
2010carpech01,carpech01,2010,1,SLN,NL,16,9,35,35,1,0,0,705,214,84,21,63,179,0.244,3.22,4.0,3,13.0,0,969.0,0,99,9.0,7.0,25.0
2010carraca01,carraca01,2010,1,CLE,AL,2,2,7,7,1,0,0,134,47,19,6,14,38,0.276,3.83,1.0,1,1.0,0,188.0,0,20,2.0,1.0,4.0
2010carradj01,carradj01,2010,1,PIT,NL,2,2,45,0,0,0,0,167,50,24,4,22,45,0.248,3.88,1.0,4,4.0,0,232.0,6,24,3.0,1.0,4.0
2010carradj01,carradj01,2010,2,ARI,NL,1,0,18,0,0,0,0,68,18,8,1,12,20,0.217,3.18,2.0,2,1.0,0,98.0,2,15,0.0,2.0,4.0
2010cashke01,cashke01,2010,1,HOU,NL,0,0,1,0,0,0,0,3,3,1,0,0,0,0.5,9.0,0.0,0,0.0,0,6.0,1,1,0.0,0.0,0.0
2010cashnan01,cashnan01,2010,1,CHN,NL,2,6,53,0,0,0,0,163,55,29,8,30,50,0.267,4.8,5.0,4,4.0,1,248.0,9,31,6.0,2.0,5.0
2010cassebo01,cassebo01,2010,1,LAA,AL,1,2,16,0,0,0,0,60,23,7,0,8,8,0.277,3.15,2.0,1,1.0,0,94.0,9,11,1.0,1.0,2.0
2010castial02,castial02,2010,1,BAL,AL,1,0,14,0,0,0,0,32,16,12,5,6,11,0.356,10.13,0.0,1,0.0,0,51.0,6,12,0.0,0.0,2.0
2010cecilbr01,cecilbr01,2010,1,TOR,AL,15,7,28,28,0,0,0,518,175,81,18,54,117,0.264,4.22,2.0,7,1.0,1,726.0,0,87,1.0,6.0,24.0
2010cedajo01,cedajo01,2010,1,FLO,NL,0,0,8,0,0,0,0,26,8,5,1,11,9,0.242,5.19,1.0,0,1.0,1,45.0,1,5,0.0,0.0,1.0
2010chacigu01,chacigu01,2010,1,HOU,NL,2,2,44,0,0,0,1,115,51,20,3,20,31,0.315,4.7,3.0,2,0.0,0,186.0,12,22,3.0,1.0,0.0
2010chacijh01,chacijh01,2010,1,COL,NL,9,11,28,21,0,0,0,412,114,50,10,61,138,0.227,3.28,5.0,4,9.0,0,583.0,2,64,6.0,5.0,14.0
2010chambjo03,chambjo03,2010,1,NYA,AL,3,4,73,0,0,0,3,215,71,35,6,22,77,0.253,4.4,2.0,5,1.0,1,305.0,18,37,0.0,1.0,6.0
2010chapmar01,chapmar01,2010,1,CIN,NL,2,2,15,0,0,0,0,40,9,3,0,5,19,0.196,2.03,0.0,2,0.0,0,51.0,3,4,0.0,0.0,2.0
2010chaveje01,chaveje01,2010,1,ATL,NL,3,2,28,0,0,0,0,110,40,24,6,12,29,0.278,5.89,3.0,0,1.0,0,162.0,16,24,3.0,2.0,2.0
2010chaveje01,chaveje01,2010,2,KCA,AL,2,3,23,0,0,0,0,78,29,17,5,11,16,0.279,5.88,4.0,2,0.0,0,118.0,10,20,2.0,1.0,0.0
